model number,number layers, number nodes, mean error, mean enzyme error, score
58.3,24,300,0.214920738599428,0.377140109165735,0.592060847765163
59.3,20,298,0.219709907343427,0.393825366502534,0.613535273845962
60.3,20,319,0.194010578966273,0.364352420379104,0.558362999345377
61.3,18,254,0.232929613335626,0.433052874327391,0.665982487663017
62.3,26,297,0.229248697626362,0.424365564274207,0.653614261900569
63.3,32,307,0.234336529629301,0.395306110501114,0.629642640130416
64.3,22,309,0.166086152476477,0.290807188807681,0.456893341284158
65.3,20,299,0.240234453884563,0.508290550019031,0.748525003903594
66.3,18,268,0.202761092865403,0.370739744995201,0.573500837860604
67.3,22,253,0.253407794710147,0.485030208678512,0.738438003388659
68.3,18,318,0.202136164698792,0.332754643629498,0.53489080832829
69.3,22,293,0.23069024875833,0.433561568661948,0.664251817420278
33.4,22,262,0.231603361763876,0.422276810565569,0.653880172329445
34.4,18,313,0.243192392821442,0.443536715939311,0.686729108760753
36.4,20,297,0.215377153569401,0.423202774688601,0.638579928258002
37.4,26,307,0.206031866247892,0.385557275132631,0.591589141380523
41.4,26,252,0.201156698297126,0.33143652340379,0.532593221700917
43.4,18,283,0.232913163150701,0.458135867852727,0.691049031003428
44.4,18,302,0.221851799866768,0.473886702868548,0.695738502735316
45.4,24,280,0.184043951159814,0.346312704653309,0.530356655813123
46.4,32,280,0.179860357562587,0.322961173349496,0.502821530912083
48.4,18,297,0.236257244034869,0.449027934467973,0.685285178502842
50.4,20,273,0.205019389907293,0.344171388855075,0.549190778762368
51.4,18,297,0.245977502513346,0.456218357599198,0.702195860112543
52.4,18,297,0.151024724806057,0.260644339549236,0.411669064355293
54.4,30,306,0.187550230592874,0.375311893060718,0.562862123653592
55.4,20,293,0.202113675477944,0.401931815220775,0.604045490698718
56.4,18,267,0.217866615807311,0.417053435315693,0.634920051123004
57.4,20,293,0.215513643142518,0.399374994423197,0.614888637565715
58.4,24,300,0.217707591189763,0.348721015383243,0.566428606573006
59.4,20,298,0.213482300697057,0.399151472242263,0.612633772939319
60.4,20,319,0.196255497849772,0.361193817519082,0.557449315368854
61.4,18,254,0.234341288778051,0.428567479348914,0.662908768126965
62.4,26,297,0.227965948536385,0.424350556877476,0.652316505413861
64.4,22,309,0.159858102530647,0.267494392899069,0.427352495429716
65.4,20,299,0.242462999080622,0.505444126282085,0.747907125362707
66.4,18,268,0.202133669023035,0.363969358445429,0.566103027468464
67.4,22,253,0.252360427554116,0.485937306053593,0.738297733607709
68.4,18,318,0.198695591873885,0.335275401462307,0.533970993336192
69.4,22,293,0.230150957663044,0.433488763231306,0.66363972089435
33.5,22,262,0.236642830853265,0.413448431697478,0.650091262550743
34.5,18,313,0.231128880349376,0.424335129456654,0.65546400980603
37.5,26,307,0.205441585872867,0.386105648581503,0.59154723445437
45.5,24,280,0.177966622538032,0.338146368264727,0.516112990802759
46.5,32,280,0.179008329492437,0.323017597749083,0.50202592724152
48.5,18,297,0.236840085854159,0.448181076669673,0.685021162523831
